1;0.Bacs technos STMG;2.C2COM;3.C3COM;4.C4CEM;4.C4CM
1;0.Equivalences;X.BUPT;5.L5DPC
1;0.Bacs technos ST2S;5.B5SPP;5.B5SPP
1;0.Bacs professionnels tertiaires;2.D2AES;3.D3AEI;4.D4REI;4.D4REI;5.D5ETS
1;0.Bacs généraux L;4.L4PSY;4.L4PSY;4.L4PSY;4.L4PSY;4.L4PSY
1;0.Bacs professionnels industriels;1.E1EGE;1.E1EGE;1.E1EGE;1.E1EGE
1;0.Bacs généraux S;5.B5EM;6.B6EM;6.B9IS1;6.B9SMT;6.B9SMT;6.B9SMT
1;0.Equivalences;3.D3DRO;4.D4RSE;4.D4CON
1;0.Equivalences;1.B1PAES;1.B1SSS;2.B2SSO;3.B3SSO
1;0.Bacs généraux L;4.L4HCC;X.LXCH;X.LXCH;4.L4HEP;5.L5HEP
1;0.Bacs technos ST2S;4.B4GMI3;5.B5MOS5
1;0.Bacs professionnels tertiaires;1.B1SSSI;1.B1SSO;1.B1SSO
1;0.Bacs généraux L;4.D4DPR;5.D5DAF
1;0.Bacs généraux S;2.A2GP;3.A3AI
1;0.Bacs technos STMG;1.E1EGE;1.E1EGE;1.E1EGEB
1;0.Bacs généraux S;1.V1IN;1.G1INF
1;0.Bacs technos STI2D;1.B1STA;1.B1STA;2.B2IFVE;3.B3IFVE
1;0.Bacs technos STI2D;2.L2GEO;2.L2GEO;3.L3GEO
1;0.Bacs généraux S;2.A2SR;2.A2SR
1;0.Bacs généraux S;1.D1DRO;2.D2DRO;3.D3DRO;3.D3DRO;4.D4RSE;X.DXEN;X.DXEN;X.DXEN;X.DXEN
1;0.Bacs généraux L;2.D2DRO;3.D3DRO;5.D5ETS
1;0.Equivalences;4.C4DIM
1;0.Bacs généraux S;1.B1PAES;1.B1PAES;1.B1IFRB;2.B2IFRB
1;0.Bacs généraux ES;1.E1EGE;1.E1EGE;2.E2EGE;2.E2EGE;3.E3EGE;4.E4BFG;5.E5EIF
1;0.Bacs généraux ES;2.S2GR7;3.V3MEC
1;0.Bacs généraux ES;1.D1AES;2.D2AES;3.V3RH2
1;0.Bacs technos ST2S;1.B1SSS;2.B2SSS;3.B3SSS;4.B4ISU;4.B4MES
1;0.Bacs professionnels tertiaires;1.B1SSS;1.D1DRO;1.D1SPO
1;0.Bacs technos STMG;2.L2GEO
1;0.Bacs technos STMG;5.B5QS3
1;0.Bacs généraux S;1.D1PMS4;2.D2SPO4
1;0.Bacs technos STMG;3.D3DRO;4.D4DPC;5.D5DST
1;0.Bacs technos STI2D;3.V3ON;3.G3ELT;4.G4PAN;5.G5PNA
1;0.Bacs généraux S;5.B5EM;6.B6EM;6.B6EM;6.B9SMT;6.B9SMT;6.B9IS3;6.B9SMT
1;0.Bacs professionnels industriels;1.L1GEO;1.L1GEO;1.L1GEO
1;0.Bacs technos autre;1.B1IFRB;2.B2IFRB
1;0.Bacs généraux S;1.B1SVI;1.B1SVI;1.B1SVI;2.B2SVI;3.B3SVI
1;0.Equivalences;2.G2ELE;3.G3SPI;4.G4ME;4.G4ME;4.G4ME;5.G5ME
1;0.Bacs généraux ES;1.B1STA;2.B2STA;3.B3STE;4.B4APS;5.B5APS
1;0.Equivalences;3.D3AEP;3.D3AEP;3.D3AEP;3.D3AEP;3.D3AEP;4.D4REI
1;0.Equivalences;1.D1AES;2.D2DRO;3.D3DRO;3.D3DRO;3.D3DRO;4.D4DPI;X.DXEN;X.DXEN
1;0.Bacs généraux ES;2.S2GR7;3.D3APS
1;0.Bacs généraux L;1.D1AES;2.D2AES;3.D3APS;4.D4PAP;4.D4PAP;3.V3RH
1;0.Bacs généraux S;1.S1MP;1.S1MP;2.S2MP;3.G3SE;4.G4SE
1;0.Equivalences;1.L1LAE;1.L1LAE;2.L2LAE;3.L3LAE;4.L4MIA;5.L5MIA
1;0.Bacs technos STMG;1.G1INF;1.S1GE
1;0.Bacs généraux ES;1.B1EM;1.B1EM;2.L2PSY;3.L3PSY;4.L4PSY
1;0.Bacs technos STMG;1.V1CJ;1.L1PSY;1.L1PSY;2.L2PSY;3.L3PSY;3.L3PSY
1;0.Bacs généraux S;4.G4GP;5.G5PRQE
1;0.Bacs généraux S;1.B1SSSI;2.B2SSS;3.B3SSS;4.B4ISU;5.B5SUR
1;0.Bacs technos STMG;2.D2AES;2.D2AES;3.D3APS
1;0.Bacs généraux ES;1.S1GE;1.E1EGE;1.E1EGE
1;0.Bacs technos STMG;1.L1LAE;1.L1LAE;2.D2SPO;3.D3SPO
1;0.Bacs généraux L;6.L8SE;6.L8SE;6.L8SE;6.L8SE
1;0.Bacs généraux ES;1.B1STA;2.B2STA;3.B3SEP;4.B4BNS
1;0.Bacs généraux S;1.L1HHI;2.L2HGH
1;0.Equivalences;1.D1AES;2.D2AES;2.D2AES;3.D3AEI
1;0.Bacs généraux L;1.D1PMS4;2.D2DRO;3.D3DRO;4.D4CON
1;0.Equivalences;5.G5PNA;6.G8PH;6.G8PH;6.G8PH;6.G8PH
1;0.Bacs technos STMG;1.L1HIS;2.D2AES
1;0.Bacs généraux S;5.L5PCP;5.L5DPC;6.L8PS;6.L8PS;6.L8PS;6.L8PS;6.L8PS
1;0.Bacs technos STI2D;1.V1IN;2.V2IN;3.V3SIL2
1;0.Equivalences;4.E4BFG;5.E5EIF;5.E5BCE
1;0.Bacs technos ST2S;1.B1SSSI;1.B1SSO;1.B1IFTS
1;0.Bacs technos STMG;4.L4EFI;5.B5MES
1;0.Bacs généraux S;1.B1SSS;1.B1SSS;1.B1IFAV;2.B2IFAV
1;0.Bacs généraux S;1.A1GE;2.A2GF;3.E3EGE
1;0.Equivalences;5.G5GPR;5.G5GPR;6.G8GDP;6.G8GDP;6.G8GDP
1;0.Bacs technos ST2S;1.B1SSS;3.S3IR2
1;0.Bacs technos STMG;1.V1GE;2.V2GR;4.D4REI;5.D5ETS
1;0.Bacs généraux S;4.E4FBI;5.E5BFG2
1;0.Bacs généraux ES;1.D1DRO;2.D2DRO;3.D3DRO;3.D3DRO;4.D4RSE;X.DXEN;X.DXEN;X.DXEN
1;0.Bacs généraux S;1.G1MIE;2.E2MIE;2.E2MIE;3.E3MIE
1;0.Equivalences;X.LUFE;2.E2MIE;3.E3MIE;4.E4IFM;5.E5FIM
1;0.Equivalences;X.LUFE;X.LUFE;1.A1SR;2.A2SR
1;0.Bacs généraux L;1.A1CA;2.A2CA;3.L3SED
1;0.Bacs généraux L;1.D1SPO;2.D2SPO;3.D3SPO;3.D3SPO;4.D4PAP;5.D5CDD
1;0.Bacs généraux L;1.D1DRO;1.D1DRO;2.C2COM;3.C3COM;3.C3COM;3.C3COM
1;0.Bacs généraux S;X.BUPH3;X.BUPH2C
1;0.Bacs technos STMG;1.L1LMO;1.L1LMO;2.L2LMO;3.L3LMO;3.L3LMO;4.L4EFI;4.L4EFI;4.L4SED
1;0.Bacs technos STMG;2.A2GR;4.D4RSE
1;0.Bacs généraux L;1.L1HIS;2.L2HGE;3.L3HGE;4.L4TDD;5.L5TDD
1;0.Bacs généraux ES;2.A2GP;4.E4EFI2;5.E5BFG2
1;0.Equivalences;3.G3PC;3.G3PC;4.G4GP
1;0.Bacs généraux S;1.E1EGE;1.E1EGE;2.E2EGE;3.E3ENT;4.E4EIR
1;0.Bacs généraux L;5.B5GMI3;5.B5MOS6
1;0.Bacs généraux S;1.B1STA;2.B2STA;3.B3STE;4.B4APS;4.B4APS
1;0.Bacs généraux ES;1.B1SSSI;1.B1IFAV;3.B3IFAV
1;0.Bacs technos STI2D;3.V3ON;3.V3ON;4.G4PSM
1;0.Equivalences;3.E3EGG;4.E4CCA
1;0.Bacs généraux ES;1.V1CJ;1.S1TC;2.S2TC;2.S2GR7
