G4MIN;Master1 Math-Info;Master1 Mathématiques-Informatique;4;IG
G4MSM;Master1 Physique Applicat;Master1 Physique et Applications;4;IG
G4NLM;Master1 Nanosciences;Master1 Nanosciences;4;IG
G4PAM;Master1 Phys Appl sp MPM;Master1 Phys et Appl sp Mécanique et Physique des Matériaux;4;IG
G4PAN;Master1 Phys Appl spNano;Master1 Physique Appli sp Physique et Nanotechnologies;4;IG
G4PCI;Master1 Phys Chimie Ingén;Master1 Physique Chimie pour l'Ingénierie;4;IG
G4PCP;Master1 PCPE;Master1 Physico-Chimie Procédés et Energie;4;IG
G4PHA;Master1 Physique et appli;Master1 Physique et applications (tronc commun);4;IG
G4PNA;Master1 Phy Nano;Master1 Physique et Nanotechnologies;4;IG
G4PSM;Master1 PSM;Master1 Physique et sciences des matériaux;4;IG
G4SC;INGENIEUR MACS an2;INGÉNIEUR sp Mathématiques Appliquée CS an2;4;IG
G4SE;INGENIEUR ENERGETIQUE an2;INGENIEUR sp ENERGETIQUE an2;4;IG
G4SE2;INGENIEUR ENERG an2 (AP);INGÉNIEUR sp ÉNERGÉTIQUE an2 (Apprentissage);4;IG
G4SI;INGENIEUR INFO an2;INGÉNIEUR sp INFORMATIQUE an2;4;IG
G4SI2;INGENIEUR INFO an2 (AP);INGÉNIEUR sp INFORMATIQUE ET RÉSEAUX an2 (Apprentissage);4;IG
G4SL;INGENIEUR LOGICIEL an2;INGENIEUR sp EN INGENIERIE LOGICIELLE an2;4;IG
G4SM;INGENIEUR MATERIAUX an2;INGENIEUR spMATERIAUX an2;4;IG
G4ST;INGENIEUR TELECOM an2;INGÉNIEUR sp TELECOM an2;4;IG
G4STI;Master1 STIRM;Master1 SignalTélécommunicationsImageRéseauxMultimédia;4;IG
G4STIV;Master1 STIC mult (Hanoï);Master1 Sciences et Technologies de l'Info et de la Com (HanoÏ);4;IG
R4SCES;Master Sciences (RI);Master Sciences (RI);4;IG
G53IR;Master2Ind 3IR;Master2 Ingénierie et innovation en images et réseaux;5;IG
G5AGRG;Master2Ind Agrégation;Master2 Agrégation;5;IG
G5AMI;Master2 Algorithmique Mod;Master2Rec Algorithmique Mododélisation Images;5;IG
G5BIO;Master2 Chimie Ingé BIO;Master2Rec Chimie Ingénierie de la Santé Biomatériaux;5;IG
G5BMA;Master2Rec Biomateriaux;Master2Rec Materaiux - Biomateriaux;5;IG
G5EI2D;Master2Ind EI2D;Master2 Exploration Informatique Données et Décisionnel;5;IG
G5EID;Master2 INFO-EID;Master2Pro INFO-EID;5;IG
